"BARREL","SPECIES","PLANT ID","TOOTHPICK","QUAD","AorD_1","HT_1","FLWR_1","DATE_1","NOTES_1","AorD_2","FLWR_2","DATE_2","NOTES_2","AorD_3","FLWR_3","DATE_3","NOTES_3","AorD_4","FLWR_4","DATE_4","NOTES_4","AorD_5","FLWR_5","DATE_5","NOTES_5","AorD_6","FLWR_6","DATE_6","NOTES_6","AorD_7","FLWR_7","DATE_7","NOTES_7","AorD_8","FLWR_8","Height_8","DATE_8","NOTES_8","AorD_9","FLWR_9","DATE_9","NOTES_9","FLWRTotal","SEEDTotal"
1,"ELEL",1373,"G C",1,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",0,2023-06-07,NA,"A",0,2023-06-14,NA,"A",0,"9",2023-06-28,NA,"A",0,2023-07-14,NA,0,0
1,"ELEL",1374,"BLK S",1,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",0,2023-06-07,NA,"A",0,2023-06-14,NA,"A",0,"19",2023-06-28,NA,"A",0,2023-07-14,NA,0,0
1,"ELEL",1375,"BLU D",1,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",0,2023-06-07,NA,"A",0,2023-06-14,NA,"A",0,"13",2023-06-28,NA,"A",0,2023-07-14,NA,0,0
1,"ELEL",1376,"R H",1,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",5,2023-06-07,NA,"A",5,2023-06-14,NA,"A",5,"16",2023-06-28,NA,"A",5,2023-07-14,NA,5,465
1,"ELEL",1377,"R C",4,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"D",0,2023-05-03,NA,"D",0,NA,NA,"D",0,NA,NA,"D",0,2023-06-14,NA,"D",0,"27",2023-06-28,NA,"D",0,2023-07-14,NA,0,0
1,"ELEL",1378,"BLK S",4,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",0,2023-06-07,NA,"A",0,2023-06-14,NA,"A",0,"24",2023-06-28,NA,"A",0,2023-07-14,NA,0,0
1,"ELEL",1379,"BLK H",4,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",8,2023-06-07,NA,"A",8,2023-06-14,NA,"A",8,"26",2023-06-28,NA,"A",0,2023-07-14,NA,8,744
1,"ELEL",1380,"G C",4,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",0,2023-06-07,NA,"A",0,2023-06-14,NA,"A",0,"22",2023-06-28,NA,"A",0,2023-07-14,NA,0,0
1,"ELEL",1381,"BLU S",4,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",0,2023-06-07,NA,"A",0,2023-06-14,NA,"A",0,"21",2023-06-28,NA,"A",0,2023-07-14,NA,0,0
1,"ELEL",1830,"BLU C",4,"NA",NA,0,NA,NA,"NA",0,NA,NA,"A",0,2023-04-19,"NEW","A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",0,2023-06-07,NA,"A",0,2023-06-14,NA,"A",0,"21",2023-06-28,NA,"A",0,2023-07-14,NA,0,0
2,"BRTE",1,"BLU D",1,"A","1",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",1,2023-05-17,NA,"A",3,2023-06-07,NA,"A",2,2023-06-14,NA,"A",2,"22",2023-06-28,NA,"D",4,2023-07-14,NA,4,352
2,"BRTE",2,"BLK S",2,"A","0.9",0,2023-03-17,NA,"A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",4,2023-06-07,NA,"A",3,2023-06-14,NA,"A",3,"20",2023-06-28,NA,"D",3,2023-07-14,NA,4,352
2,"BRTE",3,"R D",2,"A","0.6",0,2023-03-17,NA,"A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",1,2023-05-17,NA,"A",3,2023-06-07,NA,"A",2,2023-06-14,NA,"A",2,NA,2023-06-28,NA,"D",2,2023-07-14,NA,3,264
2,"BRTE",4,"G D",2,"A","0.6",0,2023-03-17,NA,"A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"D",0,2023-06-08,NA,"D",0,2023-06-14,NA,"D",0,NA,2023-06-28,NA,"D",0,2023-07-14,NA,0,0
2,"BRTE",5,"BLK H",2,"A","1.2",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"D",0,2023-06-08,NA,"D",0,2023-06-14,NA,"D",0,"22",2023-06-28,NA,"D",0,2023-07-14,NA,0,0
2,"BRTE",6,"BLU D",2,"A","2.2999999999999998",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",1,2023-06-07,NA,"A",1,2023-06-14,NA,"D",1,NA,2023-06-28,NA,"D",1,2023-07-14,NA,1,88
2,"BRTE",7,"G H",2,"A","0.6",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"D",0,2023-05-17,NA,"D",0,NA,NA,"D",0,2023-06-14,NA,"D",0,NA,2023-06-28,NA,"D",0,2023-07-14,NA,0,0
2,"BRTE",8,"R C",2,"A","0.7",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",1,2023-05-17,NA,"A",4,2023-06-07,NA,"A",2,2023-06-14,NA,"A",2,NA,2023-06-28,NA,"D",2,2023-07-14,NA,4,352
2,"BRTE",10,"G C",2,"A","0.7",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"D",0,2023-04-19,NA,"D",0,NA,NA,"D",0,NA,NA,"D",0,NA,NA,"D",0,2023-06-14,NA,"D",0,NA,2023-06-28,NA,"D",0,2023-07-14,NA,0,0
2,"BRTE",9,"BLU S",3,"A","2",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",4,2023-05-17,NA,"A",4,2023-06-07,NA,"A",5,2023-06-14,NA,"A",5,"16",2023-06-28,NA,"D",5,2023-07-14,NA,5,440
2,"BRTE",11,"BLK S",3,"A","0.5",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",1,2023-05-17,NA,"D",2,2023-06-08,NA,"D",2,2023-06-14,NA,"D",2,NA,2023-06-28,NA,"D",2,2023-07-14,NA,2,176
2,"BRTE",12,"R H",3,"A","1.5",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",1,2023-05-17,NA,"A",3,2023-06-07,NA,"A",1,2023-06-14,NA,"A",1,"7",2023-06-28,NA,"D",1,2023-07-14,NA,3,264
2,"BRTE",13,"G D",3,"A","1.5",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",5,2023-06-07,NA,"A",7,2023-06-14,NA,"A",7,"28",2023-06-28,NA,"D",8,2023-07-14,NA,8,704
2,"BRTE",1382,"R H",1,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",5,2023-06-07,NA,"A",6,2023-06-14,NA,"A",6,"25",2023-06-28,NA,"D",6,2023-07-14,NA,6,528
2,"BRTE",1383,"BLK H",1,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",1,2023-05-17,NA,"A",8,2023-06-07,NA,"A",8,2023-06-14,NA,"A",8,"11",2023-06-28,NA,"D",13,2023-07-14,NA,13,1144
2,"BRTE",1384,"Y C",2,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",0,2023-06-07,NA,"A",2,2023-06-14,NA,"A",2,"31",2023-06-28,NA,"D",6,2023-07-14,NA,6,528
2,"ELEL",1385,"G D",2,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",0,2023-06-07,NA,"D",0,2023-06-14,NA,"D",0,NA,2023-06-28,NA,"D",0,2023-07-14,NA,0,0
2,"ELEL",1386,"BLK D",2,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",3,2023-06-07,NA,"A",3,2023-06-14,NA,"A",3,"10",2023-06-28,NA,"A",0,2023-07-14,NA,3,279
2,"ELEL",1387,"BLU H",2,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",0,2023-06-07,NA,"A",0,2023-06-14,NA,"A",0,"10",2023-06-28,NA,"A",0,2023-07-14,NA,0,0
2,"BRTE",1388,"R S",3,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"D",0,2023-05-03,NA,"D",0,NA,NA,"D",0,NA,NA,"D",0,2023-06-14,NA,"D",0,NA,2023-06-28,NA,"D",0,2023-07-14,NA,0,0
2,"BRTE",1831,"BLK C",3,"NA",NA,0,NA,NA,"NA",0,2023-04-06,NA,"A",0,2023-04-19,"NEW","D",0,2023-05-03,NA,"D",0,NA,NA,"D",0,NA,NA,"D",0,2023-06-14,NA,"D",0,NA,2023-06-28,NA,"D",0,2023-07-14,NA,0,0
2,"ELEL",1389,"BLK H",3,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",0,2023-06-07,NA,"A",0,2023-06-14,NA,"A",0,"16",2023-06-28,NA,"A",0,2023-07-14,NA,0,0
2,"ELEL",1958,"YH",3,"NA",NA,0,NA,NA,"NA",0,NA,NA,"NA",0,NA,NA,"NA",0,NA,NA,"A",0,2023-05-17,"NEW","A",0,2023-06-07,NA,"A",0,2023-06-14,NA,"A",0,"13",2023-06-28,NA,"A",0,2023-07-14,NA,0,0
2,"BRTE",1390,"R H",4,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","D",0,2023-04-19,NA,"D",0,NA,NA,"D",0,NA,NA,"D",0,NA,NA,"D",0,2023-06-14,NA,"D",0,NA,2023-06-28,NA,"D",0,2023-07-14,NA,0,0
2,"BRTE",1987,"BLK S",4,"NA",NA,0,NA,NA,"NA",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",1,2023-06-07,NA,"A",2,2023-06-14,NA,"A",2,"9",2023-06-28,NA,"D",2,2023-07-14,NA,2,176
2,"ELEL",1391,"BLK H",4,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",0,2023-06-07,NA,"A",0,2023-06-14,NA,"A",0,"11",2023-06-28,NA,"A",0,2023-07-14,NA,0,0
2,"ELEL",1392,"G S",4,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",0,2023-06-07,NA,"A",0,2023-06-14,NA,"A",0,"3",2023-06-28,NA,"D",0,2023-07-14,NA,0,0
2,"ELEL",1393,"G D",4,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",0,2023-06-07,NA,"A",0,2023-06-14,NA,"A",0,"21",2023-06-28,NA,"A",0,2023-07-14,NA,0,0
2,"ELEL",1394,"BLK C",4,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",0,2023-06-07,NA,"A",0,2023-06-14,NA,"A",0,"14",2023-06-28,NA,"A",0,2023-07-14,NA,0,0
3,"BRTE",14,"BLK H",1,"A","0.7",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",3,2023-06-07,NA,"A",2,2023-06-14,NA,"A",2,"20",2023-06-28,NA,"D",2,2023-07-14,NA,3,264
3,"BRTE",15,"G C",1,"A","1.6",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",2,2023-06-07,NA,"A",2,2023-06-14,NA,"D",2,"12",2023-06-28,NA,"D",2,2023-07-14,NA,2,176
