"BARREL","SPECIES","LH","NvI","PLANT ID","TOOTHPICK","QUAD","AorD_1","HT_1","FLWR_1","DATE_1","NOTES_1","AorD_2","FLWR_2","DATE_2","NOTES_2","AorD_3","FLWR_3","DATE_3","NOTES_3","AorD_4","FLWR_4","DATE_4","NOTES_4","AorD_5","FLWR_5","DATE_5","NOTES_5","AorD_6","FLWR_6","DATE_6","NOTES_6","AorD_7","FLWR_7","DATE_7","NOTES_7","AorD_8","FLWR_8","Height_8","DATE_8","NOTES_8","AorD_9","FLWR_9","DATE_9","NOTES_9","VWC_2","VWC_3","VWC_4","VWC_5","VWC_6","VWC_7","VWC_8","VWC_9","FLWRTotal","SEEDTotal"
1,"ELEL","MEDIUM","NATIVE",1373,"G C",1,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",0,2023-06-07,NA,"A",0,2023-06-14,NA,"A",0,"9",2023-06-28,NA,"A",0,2023-07-14,NA,7.3,6.9,13.3,8.2,7.6,12.3,5.9,3.9,0,0
1,"ELEL","MEDIUM","NATIVE",1374,"BLK S",1,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",0,2023-06-07,NA,"A",0,2023-06-14,NA,"A",0,"19",2023-06-28,NA,"A",0,2023-07-14,NA,7.3,6.9,13.3,8.2,7.6,12.3,5.9,3.9,0,0
1,"ELEL","MEDIUM","NATIVE",1375,"BLU D",1,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",0,2023-06-07,NA,"A",0,2023-06-14,NA,"A",0,"13",2023-06-28,NA,"A",0,2023-07-14,NA,7.3,6.9,13.3,8.2,7.6,12.3,5.9,3.9,0,0
1,"ELEL","MEDIUM","NATIVE",1376,"R H",1,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",5,2023-06-07,NA,"A",5,2023-06-14,NA,"A",5,"16",2023-06-28,NA,"A",5,2023-07-14,NA,7.3,6.9,13.3,8.2,7.6,12.3,5.9,3.9,5,465
1,"ELEL","MEDIUM","NATIVE",1377,"R C",4,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"D",0,2023-05-03,NA,"D",0,NA,NA,"D",0,NA,NA,"D",0,2023-06-14,NA,"D",0,"27",2023-06-28,NA,"D",0,2023-07-14,NA,7.3,6.9,13.3,8.2,7.6,12.3,5.9,3.9,0,0
1,"ELEL","MEDIUM","NATIVE",1378,"BLK S",4,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",0,2023-06-07,NA,"A",0,2023-06-14,NA,"A",0,"24",2023-06-28,NA,"A",0,2023-07-14,NA,7.3,6.9,13.3,8.2,7.6,12.3,5.9,3.9,0,0
1,"ELEL","MEDIUM","NATIVE",1379,"BLK H",4,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",8,2023-06-07,NA,"A",8,2023-06-14,NA,"A",8,"26",2023-06-28,NA,"A",0,2023-07-14,NA,7.3,6.9,13.3,8.2,7.6,12.3,5.9,3.9,8,744
1,"ELEL","MEDIUM","NATIVE",1380,"G C",4,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",0,2023-06-07,NA,"A",0,2023-06-14,NA,"A",0,"22",2023-06-28,NA,"A",0,2023-07-14,NA,7.3,6.9,13.3,8.2,7.6,12.3,5.9,3.9,0,0
1,"ELEL","MEDIUM","NATIVE",1381,"BLU S",4,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",0,2023-06-07,NA,"A",0,2023-06-14,NA,"A",0,"21",2023-06-28,NA,"A",0,2023-07-14,NA,7.3,6.9,13.3,8.2,7.6,12.3,5.9,3.9,0,0
1,"ELEL","MEDIUM","NATIVE",1830,"BLU C",4,"NA",NA,0,NA,NA,"NA",0,NA,NA,"A",0,2023-04-19,"NEW","A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",0,2023-06-07,NA,"A",0,2023-06-14,NA,"A",0,"21",2023-06-28,NA,"A",0,2023-07-14,NA,7.3,6.9,13.3,8.2,7.6,12.3,5.9,3.9,0,0
